,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
4197,SE CON MEN JAN/20 - Preço Fixo,Boleta,06/11/2019 15:44:54,3.0,2232.0,207.0,Não
4198,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 15:44:42,2.0,1488.0,214.5,Não
4199,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 15:44:37,1.0,744.0,215.5,Não
4200,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:35:34,1.0,744.0,216.0,Não
4201,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 15:31:55,3.0,2232.0,215.0,Não
4202,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 15:19:49,2.0,1440.0,298.0,Não
4203,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:19:23,1.0,744.0,215.0,Não
4204,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 15:15:43,2.0,1488.0,216.0,Não
4205,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 15:05:13,2.0,1488.0,215.0,Não
4206,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:04:56,1.0,744.0,216.0,Não
4207,SE CON MEN JAN/20 - Preço Fixo,Balcão,06/11/2019 15:04:32,0.4,297.6,206.0,Não
4208,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:04:25,1.0,744.0,215.0,Não
4209,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:04:14,1.0,744.0,215.0,Não
4210,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:04:07,1.0,744.0,214.0,Não
4211,SE CON MEN JAN/20 - Preço Fixo,Balcão,06/11/2019 15:03:55,3.0,2232.0,207.0,Não
4212,SE CON MEN JAN/20 - Preço Fixo,Balcão,06/11/2019 15:03:55,1.6,1190.4,206.0,Não
4213,SE CON MEN JAN/20 - Preço Fixo,Balcão,06/11/2019 15:03:37,2.0,1488.0,205.0,Não
4214,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:03:33,0.5,372.0,215.0,Não
4215,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:03:23,0.5,372.0,215.0,Não
4216,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:03:14,1.5,1116.0,215.0,Não
4217,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:03:03,0.5,372.0,215.0,Não
4218,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:03:03,1.0,744.0,215.0,Não
4219,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:03:03,1.0,744.0,215.0,Não
4220,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:03:03,1.0,744.0,214.9,Não
4221,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:02:48,1.0,744.0,214.99,Não
4222,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 15:02:35,1.0,744.0,213.0,Não
4223,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:00:26,1.0,744.0,214.0,Não
4224,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:00:13,1.0,744.0,214.5,Não
4225,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 15:00:13,1.0,744.0,214.0,Não
4226,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 14:58:01,1.0,720.0,295.0,Não
4227,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 14:54:07,5.0,3720.0,213.0,Não
4228,SE CON MEN NOV/19 - Preço Fixo,Balcão,06/11/2019 14:49:00,1.0,720.0,296.0,Não
4229,SE CON MEN NOV/19 - Preço Fixo,Balcão,06/11/2019 14:49:00,2.0,1440.0,296.0,Não
